SDG	Pub_doi	Pub_title	Pub_concept	SDG_short	Publisher
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Headcount	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Lorenz Curve	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Headcount	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Measure	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	David Roland-Holst	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	National Poverty Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	International Poverty Line	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Measure	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Schedule	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	PovcalNet Database	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Physical Survival	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Par Jean-Claude Berth	SDG01	OECD
SDG01: No Poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Equivalence Scale	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	OECD Income Distribution Questionnaire	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Public Cash Transfer	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Net Public Transfer	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty-reducing Effect	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Headcount	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Market-income Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Equivalised Household Disposable Income	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Rate	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Median Income Threshold	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	IRL Ita JPN Lux MEX	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Inter-quintile Share Ratio	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Assessment Base	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Lower Poverty Rate	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Jobless Household	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	JPN Lux MEX NLD NZL	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Household Taxis	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Work Attachment	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Income Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Relative Income Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Material Deprivation	SDG01	OECD
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Develop Country Report	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Island LDCs	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Rural Nonfarm Economy	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Asian LDCs Island LDCs	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Asian LDCs	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	African LDCs	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Agricultural Upgrade	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Poverty Eradication	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Development Imperative	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	UNCTAD Secretariat Calculation	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	UNCTADstat Database	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Exporter Mineral Exporter	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Myanmar Lao PDR	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Manufacture Exporter Service	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Rural-urban Migration	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Gross Domestic Product	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Sustainable Poverty	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Agricultural Labour Force	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	European Union?s	SDG01	UN
SDG01: No Poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Exporter Service Exporter	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	United Nations High Commissioner For Refugee	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Millennium Development Goal Report	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Undernourished People	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Wealth Quintile	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty Rate	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Vulnerable Employment	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Lower Wealth	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Reduce Food Insecurity	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Post-2015 Development Agenda	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Hunger Target	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Underweight Child	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Asia South-Eastern	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Multiple Indicator Cluster Survey	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Food Insecurity	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Underweight Prevalence	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Severe Food Insecurity	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Asylum Seeker	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Important Staple Food	SDG01	UN
SDG01: No Poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	To-population Ratio	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Open Working Group	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Extreme Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	National Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Extreme Poverty	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Erty Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	End Poverty	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Poverty Number	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Sustainable Development Goal	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Relative Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	National Definition	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Official Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	SDG Target	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Bad Luck	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Post-2015 Development Agenda	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Data Revolution	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Bank Headquarter	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Global Poverty	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Global Line	SDG01	UN
SDG01: No Poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Health Care Access	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Sustainable Development Goal Report	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection Benefit	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection Programme	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Protection Benefit	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Asia South-Eastern	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	International Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Natural Hazard	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Extreme Form	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Sustainable Development Goal	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Extreme Poverty	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Caribbean Eastern	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Poverty Line	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	School Feeding	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Adequate Support	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Regional Estimate	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Basic Standard	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	End Poverty	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection System	SDG01	UN
SDG01: No Poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Maternity Benefit	SDG01	UN
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Pro-poor Development	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	World Summit On Sustainable Development	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Make Democracy Work	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	International Developmen T Researc H Centr	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	School Nutrition Programme	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Public Account Committee	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Effective Stat	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Education Minister Meeting	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Pro-poor Policy	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Commonwealth Government	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Community School	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Adult Literacy Class	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Government Development Project	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Cohesive Society	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Commonwealth Human	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Indian Prime Minister	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Severe Obstacle	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Woman's Interest	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Local Public Official	SDG01	CW
SDG01: No Poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Weak Administrative Capacity	SDG01	CW
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Cooperation Report	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Co-operation Report	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	End Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Cooperation	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Co-operation	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Extreme Income Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Global Minimum Standard	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Chronic Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Multilingual Summary	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Reduce Income Poverty	SDG01	OECD
SDG01: No Poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	International Development Agenda	SDG01	OECD
